CMDLINE python src/compress/measure_memory_v1.py
MEM 6044.761719 1778266357.6671
MEM 6088.281250 1778266357.7675
MEM 6164.507812 1778266357.8679
MEM 6240.816406 1778266357.9683
MEM 6316.894531 1778266358.0687
MEM 6393.128906 1778266358.1691
MEM 6469.078125 1778266358.2695
MEM 6545.472656 1778266358.3700
MEM 6621.867188 1778266358.4704
MEM 6697.941406 1778266358.5708
MEM 6774.261719 1778266358.6713
MEM 6850.472656 1778266358.7717
MEM 6926.726562 1778266358.8721
MEM 7003.003906 1778266358.9725
MEM 7071.218750 1778266359.0729
MEM 7071.218750 1778266359.1734
MEM 7071.218750 1778266359.2738
MEM 7071.218750 1778266359.3743
MEM 7071.218750 1778266359.4747
MEM 6559.460938 1778266359.5750
MEM 6559.460938 1778266359.6753
MEM 6559.460938 1778266359.7756
MEM 6559.460938 1778266359.8760
MEM 6559.460938 1778266359.9765
MEM 6559.460938 1778266360.0769
MEM 6559.460938 1778266360.1773
MEM 6559.460938 1778266360.2776
MEM 6559.460938 1778266360.3779
MEM 6559.460938 1778266360.4782
MEM 6559.460938 1778266360.5785
MEM 6559.460938 1778266360.6789
MEM 6559.460938 1778266360.7792
MEM 6559.460938 1778266360.8794
MEM 6559.460938 1778266360.9797
MEM 6559.460938 1778266361.0801
MEM 6559.460938 1778266361.1805
MEM 6559.460938 1778266361.2808
MEM 6559.460938 1778266361.3811
MEM 6559.460938 1778266361.4814
MEM 6559.460938 1778266361.5816
MEM 6559.460938 1778266361.6819
MEM 6559.460938 1778266361.7822
MEM 6559.460938 1778266361.8826
MEM 6559.460938 1778266361.9831
MEM 6559.460938 1778266362.0836
MEM 6559.460938 1778266362.1841
MEM 6559.460938 1778266362.2844
MEM 6559.460938 1778266362.3847
MEM 6559.460938 1778266362.4849
MEM 6559.460938 1778266362.5852
MEM 6559.460938 1778266362.6855
MEM 6559.460938 1778266362.7857
MEM 6559.460938 1778266362.8860
MEM 6559.460938 1778266362.9863
MEM 6559.460938 1778266363.0865
MEM 6246.964844 1778266363.1870
MEM 5770.464844 1778266363.2874
MEM 5288.214844 1778266363.3879
MEM 4805.964844 1778266363.4883
MEM 4320.714844 1778266363.5887
MEM 3836.214844 1778266363.6892
MEM 3358.464844 1778266363.7896
MEM 2864.964844 1778266363.8901
MEM 2382.964844 1778266363.9905
MEM 1894.714844 1778266364.0909
MEM 1408.464844 1778266364.1914
