Errors log for ligand_PO4
                Error in graph_extraction for 2NZC:                 
                Error in graph_extraction for 3Q0A:                 
                Error in graph_extraction for 3RVA:                 
                Error in graph_extraction for 1VQY:                 
                Error in graph_extraction for 2PI8:                 
                Error in graph_extraction for 1BIF:                 
                Error in graph_extraction for 4PPZ:                 
                Error in graph_extraction for 1JWH:                 
                Error in graph_extraction for 2VGN:                 
                Error in graph_extraction for 2VBT:                 
                Error in graph_extraction for 1O6B:                 
                Error in graph_extraction for 3NDI:                 
                Error in graph_extraction for 3LF6:                 
                Error in graph_extraction for 1B93:                 
                Error in graph_extraction for 2G09:                 
                Error in graph_extraction for 3MW2:                 
                Error in graph_extraction for 3ZSC:                 
                Error in graph_extraction for 3BDD:                 
                Error in graph_extraction for 3HZE:                 
                Error in graph_extraction for 2F8D:                 
                Error in graph_extraction for 2R4Z:                 
                Error in graph_extraction for 3GH1:                 
                Error in graph_extraction for 3E24:                 
                Error in graph_extraction for 4ZKD:                 
                Error in graph_extraction for 5JG4:                 
                Error in graph_extraction for 1Y7R:                 
                Error in graph_extraction for 2XJD:                 
                Error in graph_extraction for 2YYE:                 
                Error in graph_extraction for 1UP8:                 
                Error in graph_extraction for 2V3Q:                 
                Error in graph_extraction for 5GPJ:                 
                Error in graph_extraction for 3KSR:                 
                Error in graph_extraction for 1CLE:                 
                Error in graph_extraction for 1AKA:                 
                Error in graph_extraction for 5B3T:                 
                Error in graph_extraction for 1CU1:                 
                Error in graph_extraction for 1P16:                 
                Error in graph_extraction for 5IKT:                 
                Error in graph_extraction for 4AWN:                 
                Error in graph_extraction for 5GKX:                 
                Error in graph_extraction for 2W43:                 
                Error in graph_extraction for 1VKK:                 
                Error in graph_extraction for 4NK1:                 
                Error in graph_extraction for 1FI1:                 
                Error in graph_extraction for 4YML:                 
                Error in graph_extraction for 3DV9:                 
                Error in graph_extraction for 1EQM:                 
                Error in graph_extraction for 5CDF:                 
                Error in graph_extraction for 1U83:                 
                Error in graph_extraction for 2XTK:                 
                Error in graph_extraction for 2QCK:                 
                Error in graph_extraction for 3IIL:                 
                Error in graph_extraction for 4HTA:                 
                Error in graph_extraction for 2YW3:                 
                Error in graph_extraction for 5EHP:                 
                Error in graph_extraction for 1B12:                 
                Error in graph_extraction for 4B7M:                 
                Error in graph_extraction for 1CMB:                 
                Error in graph_extraction for 2ETS:                 
                Error in graph_extraction for 2IA6:                 
                Error in graph_extraction for 6BG8:                 
                Error in graph_extraction for 4Y7I:                 
                Error in graph_extraction for 2X1D:                 
                Error in graph_extraction for 3HZS:                 
                Error in graph_extraction for 3HDT:                 
                Error in graph_extraction for 3VKD:                 
                Error in graph_extraction for 5AWO:                 
                Error in graph_extraction for 3IGO:                 
                Error in graph_extraction for 5KXE:                 
                Error in graph_extraction for 3QFN:                 
                Error in graph_extraction for 1JXZ:                 
                Error in graph_extraction for 1BRW:                 
                Error in graph_extraction for 1KP3:                 
                Error in graph_extraction for 1QLM:                 
                Error in graph_extraction for 1YR9:                 
                Error in graph_extraction for 2P0K:                 
                Error in graph_extraction for 4B29:                 
                Error in graph_extraction for 3G37:                 
                Error in graph_extraction for 3QZY:                 
                Error in graph_extraction for 2RDH:                 
                Error in graph_extraction for 3E7W:                 
                Error in graph_extraction for 2V2B:                 
                Error in graph_extraction for 2ONK:                 
                Error in graph_extraction for 5HKE:                 
                Error in graph_extraction for 5MMO:                 
                Error in graph_extraction for 3AIK:                 
                Error in graph_extraction for 1AJK:                 
                Error in graph_extraction for 1ZCN:                 
                Error in graph_extraction for 2AN5:                 
                Error in graph_extraction for 3TLQ:                 
                Error in graph_extraction for 4Y9H:                 
                Error in graph_extraction for 1TSL:                 
                Error in graph_extraction for 2V3E:                 
                Error in graph_extraction for 1VQV:                 
                Error in graph_extraction for 4PLW:                 
                Error in graph_extraction for 1V7P:                 
                Error in graph_extraction for 4BBA:                 
                Error in graph_extraction for 1DAK:                 
                Error in graph_extraction for 1ZAO:                 
                Error in graph_extraction for 3QV8:                 
                Error in graph_extraction for 3DB1:                 
                Error in graph_extraction for 2F84:                 
                Error in graph_extraction for 3LU7:                 
                Error in graph_extraction for 3K5W:                 
                Error in graph_extraction for 3IAI:                 
                Error in graph_extraction for 4ALZ:                 
                Error in graph_extraction for 1C1D:                 
                Error in graph_extraction for 2W98:                 
                Error in graph_extraction for 1ND6:                 
                Error in graph_extraction for 3M9Z:                 
