2025-04-09 18:15:33 status unpacked libtirpc-dev:amd64 1.3.3+ds-1
2025-04-09 18:15:33 install libnsl-dev:amd64 <none> 1.3.0-2
2025-04-09 18:15:33 status half-installed libnsl-dev:amd64 1.3.0-2
2025-04-09 18:15:33 status unpacked libnsl-dev:amd64 1.3.0-2
2025-04-09 18:15:33 install rpcsvc-proto:amd64 <none> 1.4.3-1
2025-04-09 18:15:33 status half-installed rpcsvc-proto:amd64 1.4.3-1
2025-04-09 18:15:33 status unpacked rpcsvc-proto:amd64 1.4.3-1
2025-04-09 18:15:33 install libc6-dev:amd64 <none> 2.36-9+deb12u10
2025-04-09 18:15:33 status half-installed libc6-dev:amd64 2.36-9+deb12u10
2025-04-09 18:15:33 status unpacked libc6-dev:amd64 2.36-9+deb12u10
2025-04-09 18:15:33 install libbluetooth-dev:amd64 <none> 5.66-1+deb12u2
2025-04-09 18:15:33 status half-installed libbluetooth-dev:amd64 5.66-1+deb12u2
2025-04-09 18:15:33 status unpacked libbluetooth-dev:amd64 5.66-1+deb12u2
2025-04-09 18:15:33 install libbrotli1:amd64 <none> 1.0.9-2+b6
2025-04-09 18:15:33 status half-installed libbrotli1:amd64 1.0.9-2+b6
2025-04-09 18:15:33 status unpacked libbrotli1:amd64 1.0.9-2+b6
2025-04-09 18:15:33 install libbrotli-dev:amd64 <none> 1.0.9-2+b6
2025-04-09 18:15:33 status half-installed libbrotli-dev:amd64 1.0.9-2+b6
2025-04-09 18:15:33 status unpacked libbrotli-dev:amd64 1.0.9-2+b6
2025-04-09 18:15:33 install libbsd0:amd64 <none> 0.11.7-2
2025-04-09 18:15:33 status half-installed libbsd0:amd64 0.11.7-2
2025-04-09 18:15:33 status unpacked libbsd0:amd64 0.11.7-2
2025-04-09 18:15:33 install libbz2-dev:amd64 <none> 1.0.8-5+b1
2025-04-09 18:15:33 status half-installed libbz2-dev:amd64 1.0.8-5+b1
2025-04-09 18:15:33 status unpacked libbz2-dev:amd64 1.0.8-5+b1
